feature,importance
dew,0.5708603646414756
severityScore,0.08365309672539152
windgust,0.07585151118363531
humidity,0.02730757465451126
tempmax,0.022507161578917346
heatIndex,0.02242334221722484
tempmin,0.007058731122531747
severerisk,0.005439432257028765
feelslikemax,0.0030422016068147872
tempRange,0.002448302218292242
uvindex,0.0022517269625114355
winddir,0.0016531882647498942
precipprob,0.0011264023750277908
temp,0.0011173724325341584
precipcover,0.001063455852387718
feelslike,0.0008119438653204636
solarradiation,0.000733278969383111
windspeed,0.000708061844821084
dayOfWeek,0.0005907662444264216
co2,0.00037701964223986196
visibility,0.0002981802507515674
moonphase,0.0002488721611419775
co2_lag1,0.0002343678587946041
feelslikemin,0.00020606948668571156
precip,0.0001826084737300393
pressure,0.00010842502267571774
no2_lag1,5.1202831135999104e-05
sunriseEpoch,1.871556558243892e-05
datetimeEpoch,0.0
month,0.0
cloudcover,-0.0001503400558099832
pm2.5_lag1,-0.00019458361531388135
sunsetEpoch,-0.0003076399316307876
no2,-0.0007471923709047479
isWeekend,-0.0014518717744526732
solarenergy,-0.0019208554573679538
