feature,importance
dew,0.4940889453007828
windspeed,0.04287648086178788
severerisk,0.016512550847484132
humidity,0.015129674441189466
solarenergy,0.012910092586956856
windgust,0.012270046535032653
severityScore,0.010299348285833076
co2_lag1,0.009502047952047232
uvindex,0.0057829441883394
no2,0.005331697187490425
precipprob,0.004158373403203885
sunsetEpoch,0.0035237329523956753
precip,0.0027101684539992286
sunriseEpoch,0.0022851890560796396
tempmin,0.000651635085844382
solarradiation,0.0005259589888336524
datetimeEpoch,0.0
month,0.0
cloudcover,-2.6438296685071804e-05
precipcover,-0.00011540682912931643
isWeekend,-0.00018534182982514745
dayOfWeek,-0.0008981101583601881
co2,-0.0017813937763174969
pressure,-0.002895930818361947
tempmax,-0.003514500455557612
feelslikemin,-0.003653253368749887
moonphase,-0.004105152999911099
temp,-0.0045039961328877
visibility,-0.0062695674618729715
pm2.5_lag1,-0.006337811965732442
feelslike,-0.008655842970068606
winddir,-0.011640656473976985
no2_lag1,-0.011887433942398528
tempRange,-0.013143007723484734
feelslikemax,-0.014569868846727396
heatIndex,-0.01853449582028368
